골프공에 로켓연료를 넣어서 쳐본다면...? (공돌이가 골프치는 4가지 방법),16:52,조회수 10만회,6개월 전
음악에 맞춰 불꽃이 춤을 추는 장치를 만들어서 래퍼한테 선물해봤더니ㅋㅋㅋ,14:10,조회수 14만회,6개월 전
무한동력 구슬멍 기계 주문 42억개.....,23:36,조회수 58만회,6개월 전
정말 저에게 이런 일이 생길 줄 꿈에도 몰랐습니다... (무한동력 기계),4:34,조회수 164만회,6개월 전
해외에서 난리라는 무한동력 동영상.. 진짜 가능한 걸까?,8:40,조회수 732만회,6개월 전
급정지 했을 때 자동차 브레이크에 생기는 일...직접 실험해봄(과속이 위험한 이유),6:16,조회수 86만회,6개월 전
김제덕의 화이팅을 가장 리얼하게 들려주는 마법의 기계,4:11,조회수 13만회,7개월 전
고무통으로 벼 자동 재배 농장(스마트팜) 만들기... IQ 만점 공대생이 도와주러옴  | 도시농부 EP1,18:42,조회수 12만회,7개월 전
"건전지 3,000개로 테슬라 충전이 될까?",18:13,조회수 135만회,7개월 전
이과식 방탈출을 풀어야 퇴근할 수 있다... 농사하러 온 신입사원 승우아빠 첫 출근 신고식 ㅋㅋㅋㅋ  | 도시농부 EP0,13:40,조회수 16만회,7개월 전
사장님이 자리에서 일어나면 알람을 보내주는 IoT 장치 (회사에서 게임하고 싶어서 만듦ㅋㅋㅋ),16:17,조회수 57만회,7개월 전
면허 시험 응시자에게 슈퍼카를 연습용 차로 주면 생기는 일ㅋㅋㅋ,20:54,조회수 62만회,7개월 전
요즘 날씨에 [          ]이면 달걀이 익는다?,2:35,조회수 11만회,7개월 전
정신나간 공대생들이 연예인 하하를 괴롭히는 7가지 방법,23:28,조회수 28만회,7개월 전
면허시험 5번 떨어지고 빡쳐서 만든 운전면허 레이싱 기계 (의자가 움직인다!),12:05,조회수 30만회,8개월 전
"쇼미8 우승자 ""펀치넬로""와 찐팬의 만남.. 형 공연할 때 쓰라고 열심히 만들었어ㅠㅠ (배고플 때도 쓸 수 있어ㅋㅋ) [AOMG X 긱블]",17:40,조회수 21만회,8개월 전
쇼미8 우승자 펀치넬로가 의뢰한 마법의 기계는? (색깔도 바뀜),10:37,조회수 12만회,8개월 전
쓰레기로 만든 제로투 추는 로봇?!!ㅋㅋㅋㅋㅋㅋ,12:06,조회수 17만회,8개월 전
긱블 최초로 메이커 작품 키트로 만들었습니다 ㅋㅋㅋ(프링글스 리프터),5:51,조회수 14만회,8개월 전
"해외에서 논란인 사진 한 장, 상자는 열릴까? 닫힐까?",7:13,조회수 66만회,8개월 전
환자에게 30배의 약 처방을 내린 의사... (다시는 일어나면 안되는 일),5:28,조회수 8.4만회,8개월 전
수학적으로 절대 질 수 없는 당구 게임.. (으로 문과 친구 골탕먹이기ㅋㅋㅋ),14:43,조회수 329만회,8개월 전
지금까지 감사했습니다,2:21,조회수 34만회,8개월 전
폐수를 물로 바꾸는 간단한 방법ㅋㅋㅋㅋ 단 2가지만 있으면 됨ㅋㅋ,11:06,조회수 7.2만회,9개월 전
승우아빠 때문에 4층짜리 건물 임대했습니다... (철원국 결말 대공개),2:38,조회수 8.2만회,9개월 전
“포브스 선정 가장 쓸모없는 로스트아크 굿즈”,21:49,조회수 66만회,9개월 전
공대생들에게 현실 퀘스트 받으러 오면 생기는 일... (feat. 스트리머 쫀득),9:03,조회수 14만회,9개월 전
5천개 생산?ㅋㅋㅋ 무모한 공약을 걸었던 대표의 최후 (프링글스 리프터),4:00,조회수 16만회,9개월 전
프링글스 손쉽게 꺼내주는 마법의 기계 (이제 통 뒤집지 마세요),10:18,조회수 107만회,9개월 전
공대생이 만든 ‘배그 총기 반동’ 느끼는 장치;; ㅋㅋㅋ로 친구 놀리기!!ㅋ,9:05,조회수 68만회,9개월 전
긱블에서 제일 똑똑한 사람 가리기 대회,9:44,조회수 8.1만회,9개월 전
"올해, 대부분의 사람들이 본 적 없는 달이 떴다..?",3:26,조회수 10만회,9개월 전
실제로 작동하는 천만원짜리 초거대 아이폰 만들기 (애플한테 고소 당하면 영상 내릴게요ㅜㅜㅋㅋ) with 공대생 변승주,18:02,조회수 97만회,10개월 전
TV 만한 초대형 스마트폰 만들어달라고 떼쓰면서 개발자들 괴롭히는 영상ㅋㅋㅋㅋ (그래서 진짜로 만듦),11:38,조회수 11만회,10개월 전
카페트를 총으로 만들 수 있다고 해서 직접 쏴봄 ㅋㅋㅋㅋ,16:01,조회수 24만회,10개월 전
캔디 지팡이를 5연발 리볼버 지팡이로 개조시켜 봤더니..ㅋㅋㅋ,18:25,조회수 31만회,10개월 전
무기를 만들어 달라는 은밀한 의뢰... 세상에 나쁜 쿠키는 없다?! [성수동공업소 - 쿠키런킹덤편(의뢰)],10:59,조회수 11만회,10개월 전
물을 절대 흘릴 수 없는 마법의 기계│긱블 키트,2:45,조회수 27만회,10개월 전
세상을 바꾸기 위해 먼 길을 돌아 이 곳에 모인 사람들 | 긱블 다큐멘터리,32:45,조회수 12만회,10개월 전
메이커가 꿈이라면 반드시 봐야하는 영상,11:03,조회수 6.1만회,10개월 전
편의점 바코드로 즉흥 연주 하는 소리 한번 들어보쉴?ㅋㅋㅋ [성수동공업소 - 조매력편(메이킹)],17:45,조회수 71만회,10개월 전
편의점 바코드로 연주를 하겠다고...? (feat. 조매력) [성수동공업소 - 조매력편(의뢰)],7:17,조회수 15만회,10개월 전
전기 없이 살고 있는 14억 명의 사람들... 그들의 삶을 바꿔준 놀랍도록 간단한 발명품,9:08,조회수 12만회,10개월 전
긱블이 만든 세상에서 가장 비효율적인 손 안대고 캔 따는 기계 ㅋㅋㅋㅋㅋㅋㅋ,13:44,조회수 53만회,11개월 전
공돌이 채널 드디어 미대생 영입했습니다ㅜㅜㅜㅜㅜ,17:03,조회수 89만회,11개월 전
[홈비디오] 잭키 카트 타러 대천까지 갔는데 폐업함 ㅋ,6:09,조회수 6.6만회,11개월 전
승우아빠님이 의뢰한 발명품 : 헬창 바베큐 머신 (우리는 만들어 달라는대로 만들어 드림ㅋㅋㅋㅋ) [성수동공업소 - 승우아빠편(메이킹)],20:16,조회수 88만회,11개월 전
바베큐 그릴은 사서 쓰세요... 제발....!!! [성수동공업소 - 승우아빠편(의뢰)],8:20,조회수 42만회,11개월 전
모든 자석을 먹어버리는 마그네틱 슬라임.. (으로 친구 놀리기ㅋㅋㅋ),6:00,조회수 62만회,11개월 전
우리나라 서해를 지킨 55인의 용사들을 추모하는 특별한 가구,15:25,조회수 14만회,11개월 전
"물에 넣었다 빼도 원래 상태로 돌아온다는 모래, 이게 된다고?",5:19,조회수 13만회,11개월 전
덕후가 회삿돈으로 귀멸의 칼날 커스텀 마우스를 제작했습니다..,12:16,조회수 22만회,1년 전
과학적으로 모든 충격을 흡수해버리는 마법의 액체.. 로 문과친구 골탕 먹이기ㅋㅋㅋ (이과vs문과),12:01,조회수 88만회,1년 전
자동으로 칵테일 만들어주는 마법의 기계 ㅋㅋㅋㅋ 쉐이커 기능 대박 ㅋㅋㅋㅋㅋㅋㅋ,10:55,조회수 31만회,1년 전
우리가 지난 4년 동안 만든 발명품들... 과학 영재들 초대해서 리뷰 받아봤습니다... 근데 결론이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,14:16,조회수 14만회,1년 전
직접만든 일론머스크가 주가 알려드립니다 ㅋㅋㅋㅋ 화성 갈끄니까~,13:55,조회수 47만회,1년 전
회사 사람들을 피규어로 만들어서 괴롭혔더니.. 현실이 되었다ㄷㄷ (feat. 저주인형),15:52,조회수 26만회,1년 전
